SellerG,Suburb,Address,Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
Biggin,Abbotsford,85 Turner St,2,h,1480000,S,2.5,3067,2,1,1,202,,,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,25 Bloomburg St,2,h,1035000,S,2.5,3067,2,1,0,156,79,1900,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,5 Charles St,3,h,1465000,SP,2.5,3067,3,2,0,134,150,1900,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,40 Federation La,3,h,850000,PI,2.5,3067,3,2,1,94,,,Yarra,Northern Metropolitan,4019
Nelson,Abbotsford,55a Park St,4,h,1600000,VB,2.5,3067,3,1,2,120,142,2014,Yarra,Northern Metropolitan,4019
Jellis,Abbotsford,129 Charles St,2,h,941000,S,2.5,3067,2,1,0,181,,,Yarra,Northern Metropolitan,4019
Nelson,Abbotsford,124 Yarra St,3,h,1876000,S,2.5,3067,4,2,0,245,210,1910,Yarra,Northern Metropolitan,4019
Nelson,Abbotsford,98 Charles St,2,h,1636000,S,2.5,3067,2,1,2,256,107,1890,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,6/241 Nicholson St,1,u,300000,S,2.5,3067,1,1,1,0,,,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,10 Valiant St,2,h,1097000,S,2.5,3067,3,1,2,220,75,1900,Yarra,Northern Metropolitan,4019
Jellis,Abbotsford,411/8 Grosvenor St,2,u,700000,VB,2.5,3067,2,2,1,0,,,Yarra,Northern Metropolitan,4019
Nelson,Abbotsford,40 Nicholson St,3,h,1350000,VB,2.5,3067,3,2,2,214,190,2005,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,123/56 Nicholson St,2,u,750000,S,2.5,3067,2,2,1,0,94,2009,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,45 William St,2,h,1172500,S,2.5,3067,2,1,1,195,,,Yarra,Northern Metropolitan,4019
Greg,Abbotsford,7/20 Abbotsford St,1,u,441000,SP,2.5,3067,1,1,1,0,,,Yarra,Northern Metropolitan,4019
Jellis,Abbotsford,16 William St,2,h,1310000,S,2.5,3067,2,1,2,238,97,1890,Yarra,Northern Metropolitan,4019
Jellis,Abbotsford,42 Henry St,3,h,1200000,S,2.5,3067,3,2,1,113,110,1880,Yarra,Northern Metropolitan,4019
LITTLE,Abbotsford,78 Yarra St,3,h,1176500,S,2.5,3067,2,1,1,138,105,1890,Yarra,Northern Metropolitan,4019
Collins,Abbotsford,196 Nicholson St,3,h,955000,S,2.5,3067,3,1,0,183,,,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,42 Valiant St,2,h,890000,S,2.5,3067,2,1,1,150,73,1985,Yarra,Northern Metropolitan,4019
Kay,Abbotsford,3/72 Charles St,4,h,1330000,PI,2.5,3067,4,2,2,780,135,1900,Yarra,Northern Metropolitan,4019
Beller,Abbotsford,13/11 Nicholson St,3,t,900000,S,2.5,3067,3,2,2,0,,2010,Yarra,Northern Metropolitan,4019
Jellis,Abbotsford,138/56 Nicholson St,3,u,1090000,S,2.5,3067,3,2,2,4290,27,,Yarra,Northern Metropolitan,4019
Collins,Abbotsford,6/219 Nicholson St,2,u,500000,S,2.5,3067,2,1,1,0,60,1970,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,52a William St,2,h,1100000,PI,2.5,3067,2,2,1,124,135,2013,Yarra,Northern Metropolitan,4019
Marshall,Abbotsford,49 Park St,2,h,1315000,S,2.5,3067,2,1,0,147,85,1900,Yarra,Northern Metropolitan,4019
Greg,Abbotsford,5/20 Abbotsford St,1,u,426000,SP,2.5,3067,1,1,1,0,,,Yarra,Northern Metropolitan,4019
Nelson,Abbotsford,48 Abbotsford St,3,h,1447500,PI,2.5,3067,3,3,1,166,174,2012,Yarra,Northern Metropolitan,4019
Jellis,Abbotsford,116/56 Nicholson St,1,u,457000,S,2.5,3067,1,1,1,0,50,,Yarra,Northern Metropolitan,4019
Nelson,Abbotsford,159 Park St,2,h,1135000,S,2.5,3067,2,2,2,98,128,1920,Yarra,Northern Metropolitan,4019
Collins,Abbotsford,31 Turner St,4,h,1542000,S,2.5,3067,4,3,1,0,,,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,166 Gipps St,3,h,1290000,S,2.5,3067,3,2,2,147,18,,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,60 Stafford St,3,h,1290000,S,2.5,3067,3,1,1,168,124,1950,Yarra,Northern Metropolitan,4019
Nelson,Abbotsford,11/205 Gipps St,1,u,470000,S,2.5,3067,1,1,1,0,50,2013,Yarra,Northern Metropolitan,4019
Jellis,Abbotsford,47 Studley St,2,h,1180000,S,2.5,3067,2,1,0,162,91,1900,Yarra,Northern Metropolitan,4019
Jellis,Abbotsford,45 Yarra St,3,h,1195000,SP,2.5,3067,3,2,1,120,128,1998,Yarra,Northern Metropolitan,4019
Nelson,Abbotsford,200 Nicholson St,2,h,1012500,S,2.5,3067,2,1,0,182,82,1900,Yarra,Northern Metropolitan,4019
Biggin,Abbotsford,27 Charles St,2,h,1030000,S,2.5,3067,2,1,1,172,81,1930,Yarra,Northern Metropolitan,4019
Nelson,Airport West,154 Halsey Rd,3,t,840000,PI,13.5,3042,3,2,1,303,225,2016,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,50 Bedford St,3,h,730000,VB,13.5,3042,3,2,1,0,145,1965,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,50 Bedford St,3,h,770000,SP,13.5,3042,3,2,1,0,145,1965,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,23 Hart St,2,h,603000,S,13.5,3042,2,1,1,272,84,1950,Moonee Valley,Western Metropolitan,3464
Brad,Airport West,1/80 Hawker St,3,t,700000,S,13.5,3042,3,2,2,239,134,2009,Moonee Valley,Western Metropolitan,3464
Maddison,Airport West,1/37 Hillside Gr,3,h,600000,S,13.5,3042,2,1,1,290,116,1980,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,2/49 McIntosh St,2,u,500000,VB,13.5,3042,2,1,1,168,86,2011,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,54 Marshall Rd,3,h,720000,S,13.5,3042,2,1,1,620,,,Moonee Valley,Western Metropolitan,3464
Considine,Airport West,36 Roberts Rd,4,h,785000,S,13.5,3042,3,1,2,597,127,,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,11 Harrington Rd,6,h,725000,SP,13.5,3042,6,3,2,976,186,1980,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,2/252 Parer Rd,2,t,450000,S,13.5,3042,2,1,1,110,90,2015,Moonee Valley,Western Metropolitan,3464
Barry,Airport West,3/19 Hart St,2,u,515000,S,13.5,3042,2,1,1,141,73,2013,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,2/62 Clydesdale Rd,2,u,530000,S,13.5,3042,2,1,1,120,94,2012,Moonee Valley,Western Metropolitan,3464
Rendina,Airport West,3 Deidre Ct,3,h,895000,PI,13.5,3042,3,1,6,1063,133,1975,Moonee Valley,Western Metropolitan,3464
Nelson,Airport West,13 Etzel St,3,h,805000,S,13.5,3042,3,1,1,0,105,1950,Moonee Valley,Western Metropolitan,3464
